页签,序号,项目名称,分类,上游地址,type,evidence,confidence
鲲鹏,41,openMPI,HPC,"https://www.open-mpi.org/, https://openucx.org/",repo,GitHub repo: github.com/open-mpi/ompi — Open MPI main development repository,S
鲲鹏,78,Lustre,分布式存储,https://git.whamcloud.com/,repo,GitHub mirror: github.com/lustre/lustre-release — Lustre parallel file system,S
鲲鹏,131,LVS,Web,在内核集成,repo,Linux内核子系统 net/netfilter/ipvs — Linux Virtual Server已合入内核主线,S
鲲鹏,173,GMP,基础库&加速库,https://gmplib.org/repo/,repo,GNU Multiple Precision Arithmetic Library — 官方Mercurial仓库 gmplib.org/repo; GitHub mirror: github.com/gmp-mirror,S
鲲鹏,175,libmpc,基础库&加速库,http://www.multiprecision.org/,repo,GNU MPC — 复数高精度运算C库; 源码发布于 ftp.gnu.org/gnu/mpc/,S
鲲鹏,203,Memtester,基础库&加速库,https://pyropus.ca./software/memtester/,repo,用户态内存测试工具; GitHub mirror: github.com/jnavila/memtester,S
鲲鹏,218,LZO,基础库&加速库,http://www.oberhumer.com/opensource/lzo/,repo,LZO实时数据压缩库; GitHub mirror: github.com/nemequ/lzo,S
鲲鹏,251,VASP,HPC,https://www.vasp.at/,repo,Vienna Ab initio Simulation Package — 商业授权的Fortran计算化学软件; 单一代码库,A
鲲鹏,256,Amber tools,HPC,https://ambermd.org/index.php,repo,AmberTools — 分子动力学模拟工具集; GitHub: github.com/Amber-MD/AmberClassic (GPLv2),S
鲲鹏,262,OpenFOAM,HPC,https://openfoam.org/release/,repo,OpenFOAM CFD工具箱; GitHub: github.com/OpenFOAM/OpenFOAM-dev,S
鲲鹏,264,genewise,HPC,https://www.ebi.ac.uk/~birney/wise2/,repo,Wise2/GeneWise — 蛋白质-DNA比对工具; GitHub mirror: github.com/PlantandFoodResearch/wise2,S
鲲鹏,266,OpenLB,HPC,https://www.openlb.net/,repo,OpenLB — 开源格子玻尔兹曼C++代码; GitLab: gitlab.com/openlb/release (GPLv2),S
鲲鹏,294,repeatmasker,HPC,http://www.repeatmasker.org/repeatmasker/repeatmasker-4.1.2-p1.tar.gz,repo,RepeatMasker — DNA重复序列筛查工具; GitHub: github.com/Dfam-consortium/RepeatMasker,S
鲲鹏,326,Meraculous,HPC,https://jgi.doe.gov/data-and-tools/meraculous/,repo,Meraculous — 全基因组组装器; SourceForge: sourceforge.net/projects/meraculous20,A
鲲鹏,329,Yambo,HPC,http://www.yambo-code.org/,repo,Yambo — 多体计算ab initio代码; GitHub: github.com/yambo-code/yambo (GPL),S
